"anon_id","category","correct","total","ratio","ratio_relative_to_overall","gender","overall_correct_pct"
708,"class_music",35,57,0.614035,0.0537941,"Male",0.560241
708,"curr_events",23,45,0.511111,-0.0491299,"Male",0.560241
708,"film",67,100,0.67,0.109759,"Male",0.560241
708,"food_drink",57,79,0.721519,0.161278,"Male",0.560241
708,"games_sport",41,101,0.405941,-0.1543,"Male",0.560241
708,"geography",49,128,0.382812,-0.177428,"Male",0.560241
708,"language",23,45,0.511111,-0.0491299,"Male",0.560241
708,"lifestyle",28,47,0.595745,0.0355037,"Male",0.560241
708,"literature",77,124,0.620968,0.0607268,"Male",0.560241
708,"math",34,38,0.894737,0.334496,"Male",0.560241
708,"pop_music",31,95,0.326316,-0.233925,"Male",0.560241
708,"science",111,154,0.720779,0.160538,"Male",0.560241
708,"television",64,95,0.673684,0.113443,"Male",0.560241
708,"theatre",22,48,0.458333,-0.101908,"Male",0.560241
708,"world_hist",57,127,0.448819,-0.111422,"Male",0.560241
740,"amer_hist",14,29,0.482759,0.0916022,"Female",0.391156
740,"art",10,31,0.322581,-0.0685758,"Female",0.391156
740,"bus_econ",8,22,0.363636,-0.0275201,"Female",0.391156
740,"class_music",3,23,0.130435,-0.260722,"Female",0.391156
740,"curr_events",9,17,0.529412,0.138255,"Female",0.391156
740,"film",20,40,0.5,0.108844,"Female",0.391156
740,"food_drink",25,35,0.714286,0.323129,"Female",0.391156
740,"games_sport",11,42,0.261905,-0.129252,"Female",0.391156
740,"geography",9,52,0.173077,-0.21808,"Female",0.391156
740,"language",7,17,0.411765,0.0206082,"Female",0.391156
740,"lifestyle",11,19,0.578947,0.187791,"Female",0.391156
740,"literature",21,49,0.428571,0.037415,"Female",0.391156
740,"math",4,14,0.285714,-0.105442,"Female",0.391156
740,"pop_music",11,37,0.297297,-0.0938592,"Female",0.391156
740,"science",21,59,0.355932,-0.0352243,"Female",0.391156
740,"television",18,34,0.529412,0.138255,"Female",0.391156
740,"theatre",6,17,0.352941,-0.0382153,"Female",0.391156
740,"world_hist",22,51,0.431373,0.0402161,"Female",0.391156
750,"amer_hist",28,43,0.651163,-0.0210967,"Male",0.67226
750,"art",14,45,0.311111,-0.361148,"Male",0.67226
750,"bus_econ",24,34,0.705882,0.0336228,"Male",0.67226
750,"class_music",22,35,0.628571,-0.0436881,"Male",0.67226
750,"curr_events",23,27,0.851852,0.179592,"Male",0.67226
750,"film",42,62,0.677419,0.00515985,"Male",0.67226
750,"food_drink",40,51,0.784314,0.112054,"Male",0.67226
750,"games_sport",43,61,0.704918,0.0326585,"Male",0.67226
750,"geography",62,78,0.794872,0.122612,"Male",0.67226
750,"language",21,27,0.777778,0.105518,"Male",0.67226
750,"lifestyle",20,29,0.689655,0.0173957,"Male",0.67226
750,"literature",50,75,0.666667,-0.00559284,"Male",0.67226
750,"math",20,22,0.909091,0.236831,"Male",0.67226
750,"pop_music",26,57,0.45614,-0.216119,"Male",0.67226
750,"science",58,92,0.630435,-0.0418247,"Male",0.67226
750,"television",37,52,0.711538,0.039279,"Male",0.67226
750,"theatre",17,28,0.607143,-0.0651167,"Male",0.67226
750,"world_hist",54,76,0.710526,0.0382668,"Male",0.67226
773,"amer_hist",20,29,0.689655,0.167989,"Male",0.521667
773,"art",5,31,0.16129,-0.360376,"Male",0.521667
773,"bus_econ",17,23,0.73913,0.217464,"Male",0.521667
773,"class_music",2,23,0.0869565,-0.43471,"Male",0.521667
773,"curr_events",14,17,0.823529,0.301863,"Male",0.521667
773,"film",14,42,0.333333,-0.188333,"Male",0.521667
773,"food_drink",18,36,0.5,-0.0216667,"Male",0.521667
773,"games_sport",27,42,0.642857,0.12119,"Male",0.521667
773,"geography",42,54,0.777778,0.256111,"Male",0.521667
773,"language",10,17,0.588235,0.0665686,"Male",0.521667
773,"lifestyle",12,19,0.631579,0.109912,"Male",0.521667
773,"literature",25,50,0.5,-0.0216667,"Male",0.521667
773,"math",6,15,0.4,-0.121667,"Male",0.521667
773,"pop_music",14,38,0.368421,-0.153246,"Male",0.521667
773,"science",26,61,0.42623,-0.0954372,"Male",0.521667
773,"television",11,34,0.323529,-0.198137,"Male",0.521667
773,"theatre",14,18,0.777778,0.256111,"Male",0.521667
773,"world_hist",36,51,0.705882,0.184216,"Male",0.521667
824,"amer_hist",24,66,0.363636,-0.0188041,"Male",0.38244
824,"art",26,70,0.371429,-0.0110119,"Male",0.38244
824,"bus_econ",23,51,0.45098,0.0685399,"Male",0.38244
824,"class_music",4,51,0.0784314,-0.304009,"Male",0.38244
824,"curr_events",19,39,0.487179,0.104739,"Male",0.38244
824,"film",63,91,0.692308,0.309867,"Male",0.38244
824,"food_drink",27,72,0.375,-0.00744048,"Male",0.38244
824,"games_sport",57,90,0.633333,0.250893,"Male",0.38244
824,"geography",23,114,0.201754,-0.180686,"Male",0.38244
824,"language",5,43,0.116279,-0.266161,"Male",0.38244
824,"lifestyle",19,42,0.452381,0.0699405,"Male",0.38244
824,"literature",39,115,0.33913,-0.04331,"Male",0.38244
824,"math",5,34,0.147059,-0.235382,"Male",0.38244
824,"pop_music",65,85,0.764706,0.382265,"Male",0.38244
824,"science",27,138,0.195652,-0.186788,"Male",0.38244
824,"television",51,84,0.607143,0.224702,"Male",0.38244
824,"theatre",17,45,0.377778,-0.0046627,"Male",0.38244
824,"world_hist",20,114,0.175439,-0.207002,"Male",0.38244
858,"amer_hist",14,35,0.4,-0.0628099,"Female",0.46281
858,"art",21,39,0.538462,0.0756516,"Female",0.46281
858,"bus_econ",9,27,0.333333,-0.129477,"Female",0.46281
858,"class_music",11,27,0.407407,-0.0554025,"Female",0.46281
858,"curr_events",9,21,0.428571,-0.0342385,"Female",0.46281
858,"film",32,49,0.653061,0.190251,"Female",0.46281
858,"food_drink",23,43,0.534884,0.0720738,"Female",0.46281
858,"games_sport",19,50,0.38,-0.0828099,"Female",0.46281
858,"geography",22,63,0.349206,-0.113604,"Female",0.46281
858,"language",8,21,0.380952,-0.0818575,"Female",0.46281
858,"lifestyle",13,22,0.590909,0.128099,"Female",0.46281
858,"literature",38,62,0.612903,0.150093,"Female",0.46281
858,"math",7,19,0.368421,-0.0943889,"Female",0.46281
858,"pop_music",13,45,0.288889,-0.173921,"Female",0.46281
858,"science",32,74,0.432432,-0.0303775,"Female",0.46281
858,"television",16,45,0.355556,-0.107254,"Female",0.46281
858,"theatre",17,23,0.73913,0.276321,"Female",0.46281
858,"world_hist",32,61,0.52459,0.0617802,"Female",0.46281
865,"amer_hist",10,27,0.37037,-0.0540482,"Female",0.424419
865,"art",9,28,0.321429,-0.10299,"Female",0.424419
865,"bus_econ",7,17,0.411765,-0.0126539,"Female",0.424419
865,"class_music",3,20,0.15,-0.274419,"Female",0.424419
865,"curr_events",2,14,0.142857,-0.281561,"Female",0.424419
865,"film",11,34,0.323529,-0.100889,"Female",0.424419
865,"food_drink",15,26,0.576923,0.152504,"Female",0.424419
865,"games_sport",20,34,0.588235,0.163817,"Female",0.424419
865,"geography",20,43,0.465116,0.0406977,"Female",0.424419
865,"language",8,18,0.444444,0.0200258,"Female",0.424419
865,"lifestyle",7,18,0.388889,-0.0355297,"Female",0.424419
865,"literature",12,46,0.26087,-0.163549,"Female",0.424419
865,"math",11,12,0.916667,0.492248,"Female",0.424419
